,0037,,,,,false,2/5/2018 11:32:02 AM,2/13/2018 1:01:01 PM,,,,True,OTT Pull Force Checker #2,490013236,Michael DiChiara,Manfred Schumacher,AMT,40
,0038,,,,,false,4/20/2017 8:06:44 AM,4/20/2017 8:09:38 AM,,,,True,OTT Pull Force Checker #1,490011261,Michael DiChiara,Nick Johnson,Bell Helicopter - Grand Prairie,31
,0039,,,,,false,1/4/2017 1:33:22 PM,7/11/2017 11:00:51 AM,,,,True,Gates Belt Tension Meter,490011326,Michael DiChiara,Nick Johnson,Royell Manufacturing,3
,0040,,,,,false,2/5/2018 11:32:02 AM,2/5/2018 11:32:02 AM,,,,False,Gates Belt Tension Meter #2,-1,,,,3
,0041,,,,,false,1/4/2017 1:37:25 PM,1/1/0001 12:00:00 AM,,,,False,IFM Programmer #1,-1,,,,0
,0042,,,,,false,1/4/2017 1:37:50 PM,1/1/0001 12:00:00 AM,,,,False,IFM Programmer,-1,,,,0
,0043,,,,,false,1/4/2017 1:38:11 PM,1/1/0001 12:00:00 AM,,,,False,IFM Programmer,-1,,,,0
,0044,,,,,false,12/1/2017 8:43:21 AM,12/1/2017 8:43:21 AM,,,,False,Siemens AS-Interface Analyzer,-1,,,,2.0
,0045,,,,,false,1/4/2017 1:45:40 PM,1/1/0001 12:00:00 AM,,,,False,IFM Programmer Model 2000,-1,,,,3
,0046,,,,,false,1/4/2017 1:53:16 PM,1/1/0001 12:00:00 AM,,,,False,ASI BUS Testing Tool,-1,,,,3.0
,0047,,,,,false,1/4/2017 1:56:49 PM,1/1/0001 12:00:00 AM,,,,False,ZS Series Enabling Switch,-1,,,,3.0
,0048,,,Barcodes\0048.png,,false,1/5/2017 6:04:33 AM,1/1/0001 12:00:00 AM,ST 107,,,False,Extraction Tool,-1,,,,0
,0049,,,Barcodes\0049.png,,false,1/5/2017 6:07:04 AM,1/1/0001 12:00:00 AM,,,,False,HEC800 Laser Plate,-1,,,,39.5
,0052,,,Barcodes\0052.png,,false,1/5/2017 6:14:07 AM,1/1/0001 12:00:00 AM,Qty 2,,,False,HX251 Laser plates,-1,,,,9.00
,0050,,,Barcodes\0050.png,,false,1/5/2017 6:22:06 AM,1/1/0001 12:00:00 AM,,,,False,Laser Mounting Plate,-1,,,,17.5
,0051,,,Barcodes\0051.png,,false,1/5/2017 6:25:14 AM,1/1/0001 12:00:00 AM,,,,False,Laser Mounting Plate 2,-1,,,,21.5
,0053,,,Barcodes\0053.png,,false,1/5/2017 6:29:06 AM,1/1/0001 12:00:00 AM,,,,False,Lockout/Tagout Safety Kit,-1,,,,3.5
,0054,,,Barcodes\0054.png,,false,1/5/2017 6:31:49 AM,1/1/0001 12:00:00 AM,,,,False,Paragon Walbar,-1,,,,4
,0055,,,Barcodes\0055.png,,false,1/5/2017 6:34:02 AM,1/1/0001 12:00:00 AM,,,,False,Laser Mounting Plate#3 ,-1,,,,8.5
,0056,,,Barcodes\0056.png,,false,1/5/2017 6:36:31 AM,1/1/0001 12:00:00 AM,,,,False,HEC1600 Spindle Plate for Levels,-1,,,,9
,0057,,,Barcodes\0057.png,,false,1/5/2017 6:39:20 AM,1/1/0001 12:00:00 AM,Qty 2,,,False,Laser Mounting Plates ,-1,,,,14.5
,0058,,,Barcodes\0058.png,,false,1/5/2017 6:41:57 AM,1/1/0001 12:00:00 AM,,,,False,Par005 Plate,-1,,,,14.5
,0059,,,Barcodes\0059.png,,false,1/5/2017 6:45:05 AM,1/1/0001 12:00:00 AM,,,,False,Lockout Kit #2,-1,,,,4.5
